"","Sex","Year","DoY","Index","Clone","Phenophase_Derived","Heat","Heatsum","Orchard"
"89","FEMALE",1997,148,421,1503,"2",10.5,222.1,220
"90","FEMALE",1997,150,421,1503,"2",10.3,243.2,220
"91","FEMALE",1997,153,421,1503,"2",8.5,270.7,220
"92","FEMALE",1997,155,421,1503,"2",7,288,220
"93","FEMALE",1997,157,421,1503,"3",7.3,303.1,220
"94","FEMALE",1997,159,421,1503,"3",6.8,316.4,220
"95","FEMALE",1997,161,421,1503,"3",10.3,334,220
"96","FEMALE",1997,163,421,1503,"3",12.5,358.8,220
"97","FEMALE",1997,148,422,1591,"2",10.5,222.1,220
"98","FEMALE",1997,150,422,1591,"2",10.3,243.2,220
"99","FEMALE",1997,153,422,1591,"2",8.5,270.7,220
"100","FEMALE",1997,155,422,1591,"2",7,288,220
"101","FEMALE",1997,157,422,1591,"3",7.3,303.1,220
"102","FEMALE",1997,159,422,1591,"3",6.8,316.4,220
"103","FEMALE",1997,161,422,1591,"3",10.3,334,220
"104","FEMALE",1997,163,422,1591,"3",12.5,358.8,220
"105","FEMALE",1997,148,425,1542,"1",10.5,222.1,220
"106","FEMALE",1997,150,425,1542,"1",10.3,243.2,220
"107","FEMALE",1997,153,425,1542,"1",8.5,270.7,220
"108","FEMALE",1997,155,425,1542,"2",7,288,220
"109","FEMALE",1997,157,425,1542,"2",7.3,303.1,220
"110","FEMALE",1997,159,425,1542,"2",6.8,316.4,220
"111","FEMALE",1997,161,425,1542,"3",10.3,334,220
"112","FEMALE",1997,163,425,1542,"3",12.5,358.8,220
"113","FEMALE",1997,148,426,1587,"2",10.5,222.1,220
"114","FEMALE",1997,150,426,1587,"2",10.3,243.2,220
"115","FEMALE",1997,153,426,1587,"3",8.5,270.7,220
"116","FEMALE",1997,155,426,1587,"3",7,288,220
"117","FEMALE",1997,157,426,1587,"3",7.3,303.1,220
"118","FEMALE",1997,159,426,1587,"3",6.8,316.4,220
"119","FEMALE",1997,161,426,1587,"3",10.3,334,220
"120","FEMALE",1997,163,426,1587,"3",12.5,358.8,220
"121","FEMALE",1997,148,429,1597,"1",10.5,222.1,220
"122","FEMALE",1997,150,429,1597,"1",10.3,243.2,220
"123","FEMALE",1997,153,429,1597,"2",8.5,270.7,220
"124","FEMALE",1997,155,429,1597,"2",7,288,220
"125","FEMALE",1997,157,429,1597,"2",7.3,303.1,220
"126","FEMALE",1997,159,429,1597,"3",6.8,316.4,220
"127","FEMALE",1997,161,429,1597,"3",10.3,334,220
"128","FEMALE",1997,163,429,1597,"3",12.5,358.8,220
"129","FEMALE",1997,148,431,1559,"1",10.5,222.1,220
"130","FEMALE",1997,150,431,1559,"2",10.3,243.2,220
"131","FEMALE",1997,153,431,1559,"2",8.5,270.7,220
"132","FEMALE",1997,155,431,1559,"2",7,288,220
"133","FEMALE",1997,157,431,1559,"3",7.3,303.1,220
"134","FEMALE",1997,159,431,1559,"3",6.8,316.4,220
"135","FEMALE",1997,161,431,1559,"3",10.3,334,220
"136","FEMALE",1997,163,431,1559,"3",12.5,358.8,220
"137","FEMALE",1997,148,433,1592,"1",10.5,222.1,220
"138","FEMALE",1997,150,433,1592,"2",10.3,243.2,220
"139","FEMALE",1997,153,433,1592,"2",8.5,270.7,220
"140","FEMALE",1997,155,433,1592,"2",7,288,220
"141","FEMALE",1997,157,433,1592,"3",7.3,303.1,220
"142","FEMALE",1997,159,433,1592,"3",6.8,316.4,220
"143","FEMALE",1997,161,433,1592,"3",10.3,334,220
"144","FEMALE",1997,163,433,1592,"3",12.5,358.8,220
"145","FEMALE",1997,148,435,1528,"1",10.5,222.1,220
"146","FEMALE",1997,150,435,1528,"1",10.3,243.2,220
"147","FEMALE",1997,153,435,1528,"2",8.5,270.7,220
"148","FEMALE",1997,155,435,1528,"2",7,288,220
"149","FEMALE",1997,157,435,1528,"2",7.3,303.1,220
"150","FEMALE",1997,159,435,1528,"2",6.8,316.4,220
"151","FEMALE",1997,161,435,1528,"2",10.3,334,220
"152","FEMALE",1997,163,435,1528,"3",12.5,358.8,220
"153","FEMALE",1997,148,437,1587,"2",10.5,222.1,220
"154","FEMALE",1997,150,437,1587,"2",10.3,243.2,220
"155","FEMALE",1997,153,437,1587,"2",8.5,270.7,220
"156","FEMALE",1997,155,437,1587,"3",7,288,220
"157","FEMALE",1997,157,437,1587,"3",7.3,303.1,220
"158","FEMALE",1997,159,437,1587,"3",6.8,316.4,220
